9-A1-1 9-A1-2 10-A1-1 10-A1-2 9-A2-1 9-A2-2 10-A2-1 10-A2-2 9-A3-1 9-A3-2 10-A3-1 10-A3-2 9-A4-1 9-A4-2 10-A4-1 10-A4-2 9-A5-1 9-A5-2 10-A5-1 10-A5-2 9-A6-1 9-A6-2 10-A6-1 10-A6-2 9-A7-1 9-A7-2 10-A7-1 10-A7-2 9-A8-1 9-A8-2 10-A8-1 10-A8-2 9-A9-1 9-A9-2 10-A9-1 10-A9-2 9-A10-1 9-A10-2 10-A10-1 10-A10-2 9-A11-1 9-A11-2 10-A11-1 10-A11-2 9-A12-1 9-A12-2 10-A12-1 10-A12-2 
9-A1-3 9-A1-4 10-A1-3 10-A1-4 9-A2-3 9-A2-4 10-A2-3 10-A2-4 9-A3-3 9-A3-4 10-A3-3 10-A3-4 9-A4-3 9-A4-4 10-A4-3 10-A4-4 9-A5-3 9-A5-4 10-A5-3 10-A5-4 9-A6-3 9-A6-4 10-A6-3 10-A6-4 9-A7-3 9-A7-4 10-A7-3 10-A7-4 9-A8-3 9-A8-4 10-A8-3 10-A8-4 9-A9-3 9-A9-4 10-A9-3 10-A9-4 9-A10-3 9-A10-4 10-A10-3 10-A10-4 9-A11-3 9-A11-4 10-A11-3 10-A11-4 9-A12-3 9-A12-4 10-A12-3 10-A12-4 
11-A1-1 11-A1-2 12-A1-1 12-A1-2 11-A2-1 11-A2-2 12-A2-1 12-A2-2 11-A3-1 11-A3-2 12-A3-1 12-A3-2 11-A4-1 11-A4-2 12-A4-1 12-A4-2 11-A5-1 11-A5-2 12-A5-1 12-A5-2 11-A6-1 11-A6-2 12-A6-1 12-A6-2 11-A7-1 11-A7-2 12-A7-1 12-A7-2 11-A8-1 11-A8-2 12-A8-1 12-A8-2 11-A9-1 11-A9-2 12-A9-1 12-A9-2 11-A10-1 11-A10-2 12-A10-1 12-A10-2 11-A11-1 11-A11-2 12-A11-1 12-A11-2 11-A12-1 11-A12-2 12-A12-1 12-A12-2 
11-A1-3 11-A1-4 12-A1-3 12-A1-4 11-A2-3 11-A2-4 12-A2-3 12-A2-4 11-A3-3 11-A3-4 12-A3-3 12-A3-4 11-A4-3 11-A4-4 12-A4-3 12-A4-4 11-A5-3 11-A5-4 12-A5-3 12-A5-4 11-A6-3 11-A6-4 12-A6-3 12-A6-4 11-A7-3 11-A7-4 12-A7-3 12-A7-4 11-A8-3 11-A8-4 12-A8-3 12-A8-4 11-A9-3 11-A9-4 12-A9-3 12-A9-4 11-A10-3 11-A10-4 12-A10-3 12-A10-4 11-A11-3 11-A11-4 12-A11-3 12-A11-4 11-A12-3 11-A12-4 12-A12-3 12-A12-4 
9-B1-1 9-B1-2 10-B1-1 10-B1-2 9-B2-1 9-B2-2 10-B2-1 10-B2-2 9-B3-1 9-B3-2 10-B3-1 10-B3-2 9-B4-1 9-B4-2 10-B4-1 10-B4-2 9-B5-1 9-B5-2 10-B5-1 10-B5-2 9-B6-1 9-B6-2 10-B6-1 10-B6-2 9-B7-1 9-B7-2 10-B7-1 10-B7-2 9-B8-1 9-B8-2 10-B8-1 10-B8-2 9-B9-1 9-B9-2 10-B9-1 10-B9-2 9-B10-1 9-B10-2 10-B10-1 10-B10-2 9-B11-1 9-B11-2 10-B11-1 10-B11-2 9-B12-1 9-B12-2 10-B12-1 10-B12-2 
9-B1-3 9-B1-4 10-B1-3 10-B1-4 9-B2-3 9-B2-4 10-B2-3 10-B2-4 9-B3-3 9-B3-4 10-B3-3 10-B3-4 9-B4-3 9-B4-4 10-B4-3 10-B4-4 9-B5-3 9-B5-4 10-B5-3 10-B5-4 9-B6-3 9-B6-4 10-B6-3 10-B6-4 9-B7-3 9-B7-4 10-B7-3 10-B7-4 9-B8-3 9-B8-4 10-B8-3 10-B8-4 9-B9-3 9-B9-4 10-B9-3 10-B9-4 9-B10-3 9-B10-4 10-B10-3 10-B10-4 9-B11-3 9-B11-4 10-B11-3 10-B11-4 9-B12-3 9-B12-4 10-B12-3 10-B12-4 
11-B1-1 11-B1-2 12-B1-1 12-B1-2 11-B2-1 11-B2-2 12-B2-1 12-B2-2 11-B3-1 11-B3-2 12-B3-1 12-B3-2 11-B4-1 11-B4-2 12-B4-1 12-B4-2 11-B5-1 11-B5-2 12-B5-1 12-B5-2 11-B6-1 11-B6-2 12-B6-1 12-B6-2 11-B7-1 11-B7-2 12-B7-1 12-B7-2 11-B8-1 11-B8-2 12-B8-1 12-B8-2 11-B9-1 11-B9-2 12-B9-1 12-B9-2 11-B10-1 11-B10-2 12-B10-1 12-B10-2 11-B11-1 11-B11-2 12-B11-1 12-B11-2 11-B12-1 11-B12-2 12-B12-1 12-B12-2 
11-B1-3 11-B1-4 12-B1-3 12-B1-4 11-B2-3 11-B2-4 12-B2-3 12-B2-4 11-B3-3 11-B3-4 12-B3-3 12-B3-4 11-B4-3 11-B4-4 12-B4-3 12-B4-4 11-B5-3 11-B5-4 12-B5-3 12-B5-4 11-B6-3 11-B6-4 12-B6-3 12-B6-4 11-B7-3 11-B7-4 12-B7-3 12-B7-4 11-B8-3 11-B8-4 12-B8-3 12-B8-4 11-B9-3 11-B9-4 12-B9-3 12-B9-4 11-B10-3 11-B10-4 12-B10-3 12-B10-4 11-B11-3 11-B11-4 12-B11-3 12-B11-4 11-B12-3 11-B12-4 12-B12-3 12-B12-4 
9-C1-1 9-C1-2 10-C1-1 10-C1-2 9-C2-1 9-C2-2 10-C2-1 10-C2-2 9-C3-1 9-C3-2 10-C3-1 10-C3-2 9-C4-1 9-C4-2 10-C4-1 10-C4-2 9-C5-1 9-C5-2 10-C5-1 10-C5-2 9-C6-1 9-C6-2 10-C6-1 10-C6-2 9-C7-1 9-C7-2 10-C7-1 10-C7-2 9-C8-1 9-C8-2 10-C8-1 10-C8-2 9-C9-1 9-C9-2 10-C9-1 10-C9-2 9-C10-1 9-C10-2 10-C10-1 10-C10-2 9-C11-1 9-C11-2 10-C11-1 10-C11-2 9-C12-1 9-C12-2 10-C12-1 10-C12-2 
9-C1-3 9-C1-4 10-C1-3 10-C1-4 9-C2-3 9-C2-4 10-C2-3 10-C2-4 9-C3-3 9-C3-4 10-C3-3 10-C3-4 9-C4-3 9-C4-4 10-C4-3 10-C4-4 9-C5-3 9-C5-4 10-C5-3 10-C5-4 9-C6-3 9-C6-4 10-C6-3 10-C6-4 9-C7-3 9-C7-4 10-C7-3 10-C7-4 9-C8-3 9-C8-4 10-C8-3 10-C8-4 9-C9-3 9-C9-4 10-C9-3 10-C9-4 9-C10-3 9-C10-4 10-C10-3 10-C10-4 9-C11-3 9-C11-4 10-C11-3 10-C11-4 9-C12-3 9-C12-4 10-C12-3 10-C12-4 
11-C1-1 11-C1-2 12-C1-1 12-C1-2 11-C2-1 11-C2-2 12-C2-1 12-C2-2 11-C3-1 11-C3-2 12-C3-1 12-C3-2 11-C4-1 11-C4-2 12-C4-1 12-C4-2 11-C5-1 11-C5-2 12-C5-1 12-C5-2 11-C6-1 11-C6-2 12-C6-1 12-C6-2 11-C7-1 11-C7-2 12-C7-1 12-C7-2 11-C8-1 11-C8-2 12-C8-1 12-C8-2 11-C9-1 11-C9-2 12-C9-1 12-C9-2 11-C10-1 11-C10-2 12-C10-1 12-C10-2 11-C11-1 11-C11-2 12-C11-1 12-C11-2 11-C12-1 11-C12-2 12-C12-1 12-C12-2 
