1006_F03	nhr-108
1074_H03	ceh-39
VV_A10	cog-1
JRH_095	C26E1.3
VV_A03	ceh-23
VV_C06	unc-130
EA_B06	H32C10.3
JRH_042	C33H5.17
1078_A01	cnd-1
JRH_007	egl-38
1074_D03	rbr-2
1076_B12	nhr-168
JRH_201	egl-38
EA_F06	C09G9.7
VV_A12	daf-16
1075_G03	ceh-37
EA_D03	ref-2
1077_A08	R03E1.4
JRH_199	ztf-4
BD1_A05	nhr-68
EA_A05	ZK686.4
1073_C08	F22D6.2
EA_D04	hlh-15
JRH_017	ceh-40
1067_E11	nhr-99
1006_B01	nhr-68
1074_G09	R10E4.11
1074_G11	R07E5.5
EA_D05	nhr-178
1077_D06	nhr-158
EA_F03	nhr-86
1074_C08	nhr-266
1005_G07	K12H6.12
1018_D12	F27D4.4
1077_H03	cid-1
1005_A02	nhr-67
JRH_148	ceh-22
1040_H01	cnd-1
1072_C06	nhr-19
1038_C06	T10D4.6
1039_C10	hlh-6
EA_A11	nhr-140
1038_D01	F47G4.6
EA_F09	T09F3.1
1074_H01	nhr-2
1077_C02	set-16
1077_B06	nhr-11
1074_C04	nhr-177
1074_H09	D1081.8
1074_C09	nhr-209
1077_D01	nhr-247
1074_D06	T27B1.2
1077_D09	flh-2
1074_F01	T09F3.1
1074_G10	ztf-9
1074_H02	nhr-182
1074_D10	F58G1.2
1077_A07	ceh-28
1074_D02	ceh-9
1074_D05	nhr-77
1074_C10	atf-7
EA_A03	nhr-8
1074_E08	R151.8
1074_E09	T22C8.3
1074_B04	nhr-17
1077_A04	sma-4
1005_A04	pqm-1
1077_A09	med-1
1074_G04	ttx-3
1074_B02	F23A7.6
1075_G02	nhr-7
1074_E07	lfi-1
1005_G01	nhr-187
1074_D07	Y5F2A.4
1074_B08	D1046.2
1074_G02	F21D12.5
EA_F04	lpd-2
1073_B02	nhr-264
1074_E06	nhr-86
1074_C12	hlh-19
JRH_361	T21B4.17
1074_F08	Y67H2A.10
1074_G06	F21A10.2
1073_B01	nhr-195
1074_H11	nhr-192
1005_B12	nhr-183
1078_B06	nhr-198
1006_H08	F38B7.1
1037_H02	nhr-14
1072_F09	nhr-10
1077_C04	ceh-38
1005_G06	mab-9
1040_G07	cey-2
1005_B02	T18D3.7
1046_A07	fozi-1
1078_B09	hlh-3
1039_A11	psa-1
1005_C10	atf-6
1075_C08	lsl-1
1006_H04	T09A5.12
1073_B09	dro-1
1074_H08	F54C4.3
JRH_369	Y38E10A.6
JRH_057	pax-3
1075_C04	bed-2
1005_F09	nhr-37
EA_B05	F55B11.4
Y1H_093	elt-4
1076_F02	Y39E4B.7
1033_D11	nhr-46
1040_G01	R05D3.3
1001_A06	K09A11.1
1073_G05	atf-2
EA_B12	T23F11.4
1073_D03	H20J04.2
1073_A08	sox-1
1078_C04	zip-3
1040_F02	egl-43
BD1_B10	ceh-24
1077_C09	Y57A10A.31
1072_B01	T02E1.3
1005_F06	C28G1.4
1008_B01	plp-1
1078_E04	mgl-2
1051_A03	W03F9.2
1075_A08	F45C12.3
1005_C12	nhr-102
1005_D06	T27F2.4
1078_F02	C02F5.12
1005_A12	nhr-180
1078_E05	egr-1
1006_D04	C18G1.2
1006_E04	nhr-54
1050_F09	lin-54
JRH_364	R04A9.5
1075_G09	hlh-25
JRH_079	pha-2
JRH_365	ttx-1
1030_H11	tag-331
1078_B08	hlh-1
1039_D12	F28C6.1
1072_D12	F33H1.4
1005_E02	sex-1
VV_A06	ceh-37
JRH_002	mec-3
1006_D05	nhr-213
1072_E10	nhr-220
1040_C02	lin-48
1065_E10	fkh-2
1073_F10	elt-6
1033_G09	hlh-30
1073_C02	W10D9.4
JRH_086	nob-1
1006_G04	nhr-56
1034_H03	lir-2
JRH_082	ceh-21
1072_C11	aha-1
JRH_029	F45C12.2
1032_F04	nhr-31
1073_F04	lin-15B
1072_H03	nhr-167
1021_A06	cdc-14
1072_C03	ZK546.5
1076_E06	ceh-7
JRH_008	ZC376.4
1041_D07	F27D4.6
1006_A06	nhr-237
1032_D04	C08G9.2
JRH_061	ceh-49
1039_D09	hlh-4
1078_B07	R06F6.6
1076_C11	gei-13
1031_H04	B0336.3
1074_B10	pqn-21
JRH_077	ceh-28
1073_F09	M18.8
1078_C01	F09G2.9
1005_D04	nhr-196
1006_G06	nhr-179
MW2_H04	hlh-26
1072_A11	lin-26
1078_A03	F53H4.5
1005_B03	nhr-35
1073_A10	C46E10.8
1054_B10	Y53F4B.3
1076_C12	sox-3
1002_D02	F16B12.6
1075_B04	daf-8
1006_H02	oma-2
1035_A04	F13C5.2
JRH_046	odr-7
1037_B11	Y74C9A.4
1076_F05	zim-3
1005_D03	nhr-181
1072_H04	tbx-36
1039_F10	Y116A8C.20
1021_H05	hmg-11
1075_G06	F39B2.1
Y1H_087	ets-4
1006_E01	nhr-188
1039_D11	mls-1
1072_A10	nhr-216
1073_G09	F56D1.1
1073_C09	ceh-5
1072_E08	F53B7.2
1073_A12	slr-2
1075_H05	Y57G11C.25
1029_A12	hmg-1.2
Y1H_060	daf-16
1076_B05	F11A10.2
1027_C02	zip-2
1006_D01	C49C3.5
1070_G07	K02G10.1
1075_C11	F54A5.1
1040_A02	nhr-4
1075_A07	nhr-211
1076_D05	nhr-197
1038_C12	mex-5
1072_A01	C48E7.11
1074_B01	nhr-92
1039_F08	oma-1
1006_E07	aptf-1
1073_D04	sknr-1
1006_C03	nhr-90
1006_F07	pzf-1
1076_C05	F57C9.4
VV_D02	dac-1
1006_B03	F38C2.7
JRH_133	ceh-1
1006_A05	F19F10.1
1011_B10	Y55F3AM.6
1073_G04	C09F5.3
1005_D11	nhr-47
1006_G08	F23F1.1
1076_H05	C01F6.9
1075_C06	nhr-126
1075_D12	gei-3
1006_B05	nhr-57
1072_H08	hlh-14
1051_C11	F37B4.10
1005_A11	nhr-226
1075_C07	tag-182
JRH_005	T13C5.4
1072_G07	T07C12.11
1075_A01	C06E1.8
1078_F03	nhr-243
1005_F05	nhr-258
1029_G06	ztf-8
1076_H01	hlh-11
1005_B11	hmg-5
1039_D10	tbx-34
1024_G09	F59C6.2
1039_A09	T26A5.8
1073_G06	nhr-257
1076_A06	rabs-5
1031_F02	Y48A6C.3
JRH_073	ceh-41
1005_C07	C34D1.2
JRH_048	C50H2.6
Y1H_013	daf-16
1006_E08	C17E4.6
1074_D08	R06C7.9
1072_G08	C01B12.2
1073_H10	ZK686.5
1051_C04	W05B10.2
1075_G04	unc-120
