BaitID	TFcoord	
1037_B11	8-D1	
1076_A02	9-C3	
1050_F09	11-A1	
1006_E03	9-H11	
1074_C04	8-H4	
1037_B11	11-A1	
1006_E03	2-D3	
1037_B11	6-E12	
EA_D04	9-G3	
1006_F03	3-F6	
1037_B11	11-A2	
1037_B11	5-D7	
BD1_B10	1-C4	
1076_A02	3-B12	
1006_E03	3-F2	
1076_A02	3-A1	
1006_E03	8-F6	
1074_C04	5-D7	
JRH_155	6-G6	
1006_E03	2-B3	
1006_E03	9-H3	
BD1_B10	9-A5	
1037_B11	4-E5	
1037_B11	5-D1	
EA_D04	1-A9	
EA_D04	11-A1	
1006_E03	2-D9	
JRH_155	9-G8	
1050_F09	6-F8	
1050_F09	3-G4	
1037_B11	6-A9	
EA_D04	1-A12	
1006_B08	5-C5	
1006_E03	11-B1	
1074_C04	10-A6	
1006_E03	5-D5	
EA_D04	11-A2	
1037_B11	2-A10	
1074_C04	8-B2	
1006_F03	3-C1	
1037_B11	4-F12	
1050_F09	9-D10	
1074_C04	3-G4	
BD1_B10	6-A11	
1006_E03	6-C10	
1006_E03	7-A11	
1037_B11	7-B6	
1037_B11	7-F4	
1037_B11	8-B10	
1074_C04	8-F6	
BD1_B10	9-G2	
1006_E03	8-H7	
1006_E03	1-G3	
1074_C04	6-C10	
1037_B11	5-B11	
1006_E03	3-F3	
EA_D04	9-G2	
1037_B11	1-F8	
1037_B11	9-G8	
JRH_155	3-G4	
BD1_B10	7-G5	
EA_D04	6-H3	
1050_F09	5-D5	
BD1_B10	8-B2	
1037_B11	7-G5	
1074_C04	3-F7	
1037_B11	9-E1	
1037_B11	7-F1	
1006_F03	9-G2	
1006_F03	9-E6	
1037_B11	10-H10	
1006_E03	8-H4	
1006_B08	3-B12	
1006_E03	6-H3	
1006_F03	3-A1	
1006_E03	6-F8	
EA_D04	2-A10	
1074_C04	3-C9	
1037_B11	9-G2	
1006_E03	11-B6	
EA_D04	8-B10	
1006_E03	7-E3	
1006_E03	1-A9	
1006_E03	3-E11	
1006_E03	9-G2	
1006_E03	7-F1	
1006_F03	7-G5	
1037_B11	2-C11	
1037_B11	10-E1	
1037_B11	10-A7	
1006_F03	8-H7	
1006_E03	5-C5	
1037_B11	8-D2	
1050_F09	9-G9	
1006_B08	7-G5	
1006_E03	9-E1	
1050_F09	10-H5	
EA_D04	7-F1	
1006_E03	11-A1	
BD1_B10	10-A6	
1006_E03	1-G4	
1037_B11	1-H9	
1006_E03	5-B11	
1050_F09	3-A1	
1037_B11	2-B3	
1006_E03	9-E6	
1050_F09	9-E6	
1037_B11	11-A8	
1037_B11	8-H4	
1037_B11	8-F6	
1006_E03	10-D9	
1074_C04	1-H9	
1006_B08	3-A1	
1037_B11	2-B9	
1006_F03	6-G6	
1006_B08	8-F6	
1074_C04	3-B12	
1037_B11	1-H7	
1006_B08	1-H9	
1006_B08	1-G3	
1006_E03	7-G5	
1074_C04	6-H3	
1006_E03	10-A6	
1037_B11	6-C10	
1050_F09	8-H7	
EA_D04	10-A5	
1006_E03	3-A1	
1037_B11	9-F6	
1006_B08	9-C3	
1006_E03	5-D7	
1037_B11	3-G4	
1006_E03	3-B12	
1006_B08	3-F7	
1074_C04	3-A1	
1006_E03	8-B2	
1037_B11	3-A1	
EA_D04	10-A3	
1074_C04	5-D1	
1006_E03	6-G6	
1006_E03	3-G4	
1037_B11	3-B12	
1037_B11	3-F7	
1037_B11	3-C9	
1037_B11	9-F11	
1037_B11	5-C5	
1037_B11	10-D8	
1037_B11	6-H3	
1050_F09	9-H11	
EA_D04	2-D3	
1037_B11	1-G3	
1037_B11	9-H11	
EA_D04	8-H1	
1037_B11	6-G6	
1037_B11	9-G7	
1074_C04	9-G2	
1037_B11	9-C7	
EA_D04	3-G4	
1037_B11	9-C3	
EA_D04	8-H5	
1037_B11	10-B4	
1037_B11	10-D9	
1074_C04	7-G5	
1004_D02	8-H1	
1078_G01	5-A10	
1078_G01	8-D2	
1004_D02	1-E12	
1004_D02	8-F12	
1004_D02	10-A5	
1004_D02	9-C3	
1004_D02	1-D12	
1004_D02	11-A2	
1077_E05	9-E1	
1077_E05	9-G2	
1078_G01	5-A8	
1078_G01	3-D8	
1078_G01	10-B2	
1004_D02	2-D9	
1077_E05	9-E6	
1004_D02	8-G12	
1004_D02	8-H4	
1004_D02	10-A3	
1004_D02	3-F2	
1004_D02	10-A9	
1078_G01	6-D2	
1078_G01	6-A11	
1004_D02	4-B4	
1004_D02	7-A11	
1077_E05	5-F12	
1004_D02	7-G6	
1004_D02	9-G2	
1077_E05	1-A8	
1078_G01	6-C10	
1078_G01	7-F4	
1078_G01	2-B3	
1004_D02	2-A11	
1078_G01	8-H4	
1078_G01	8-F12	
1004_D02	8-F8	
1078_G01	6-E7	
1004_D02	5-D5	
1078_G01	8-H3	
1078_G01	2-D1	
1078_G01	1-G3	
1004_D02	10-A7	
1077_E05	3-G4	
1077_E05	10-H4	
1078_G01	1-H9	
